书名,作者,bookId,划线数,想法数,最后阅读,分类,进度,本地文件
巨婴国 (武志红) (Z-Library),,CB_BAv5Rp5P29dG6y66wwCjB036,1,0,2025-08-21,,0,未分类/巨婴国 (武志红) (Z-Library)-CB_BAv5Rp5P29dG6y66wwCjB036.md
亡友鲁迅印象记,许寿裳,582306,33,0,2025-08-21,人物传记-文学家,69,人物传记/亡友鲁迅印象记.md
巨婴国 (武志红) (Z-Library),,CB_ABS3OI3Lb9dG6y66ww2Jq8Lk,2,0,2025-08-21,,0,未分类/巨婴国 (武志红) (Z-Library)-CB_ABS3OI3Lb9dG6y66ww2Jq8Lk.md
人月神话(二十周年纪念版),弗雷德里克·布鲁克斯,CB_0IMC0U1iLBQb5E66xM7Vh1RX,5,0,2025-08-21,,2,未分类/人月神话(二十周年纪念版).md
全国计算机等级考试上机考试题库 二级Python,策未来,3300084232,26,0,2025-08-21,计算机-理论知识,0,计算机/全国计算机等级考试上机考试题库 二级Python.md
LaTeX入门,刘海洋,3300055357,1,0,2025-08-21,科学技术-工业技术,11,科学技术/LaTeX入门.md
吾国与吾民,林语堂,38505377,1,1,2025-08-21,文学-散文杂著,0,文学/吾国与吾民.md
名著好看在哪里,一只萧包子,3300118734,11,0,2025-08-21,文学-文学鉴赏,69,文学/名著好看在哪里.md
理论好用吗,,CB_7n95at5bN1oD6s16sbCJEBhW,7,1,2025-08-21,,100,未分类/理论好用吗.md
钱穆_国史大纲_简体中文版,,CB_ANp3G13DJ9dG6y66wwEZm78h,1,0,2025-08-21,,0,未分类/钱穆_国史大纲_简体中文版.md
吾家小史,余秋雨,26452378,3,0,2025-08-21,文学-经典作品,56,文学/吾家小史.md
魔戒：三部曲,【英】J. R. R. 托尔金,3300091884,23,0,2025-08-19,精品小说-玄幻小说,40,精品小说/魔戒：三部曲.md
床，沙发，我的人生,罗曼·莫内里,3300071185,4,0,2025-07-20,精品小说-治愈小说,1,精品小说/床，沙发，我的人生.md
魔戒三部曲（魔戒之战200年前的故事《指环王：洛汗之战》12.14上映）,J.R.R.托尔金,567379,71,0,2025-05-21,精品小说-玄幻小说,73,精品小说/魔戒三部曲（魔戒之战200年前的故事《指环王：洛汗之战》12.14上映）.md
水浒传（人民文学版）,【明】施耐庵,29855986,2,0,2025-05-19,文学-古典文学,0,文学/水浒传（人民文学版）.md
金瓶梅（别名：金瓶梅词话）,【明】兰陵笑笑生,3300126034,1,0,2025-05-19,文学-古典文学,0,文学/金瓶梅（别名：金瓶梅词话）.md
倦怠社会,韩炳哲,25731054,124,1,2025-05-15,社会文化-社科,99,社会文化/倦怠社会.md
霍乱时期的爱情,【哥】加西亚•马尔克斯,26441414,1,0,2025-05-10,文学-外国文学,9,文学/霍乱时期的爱情.md
洋务自强,张鸣,26452505,0,0,2024-10-29,历史-中国近现代,96,历史/洋务自强.md
三体全集（全三册）,刘慈欣,695233,3,0,2024-09-04,精品小说-科幻小说,7,精品小说/三体全集（全三册）.md
